"word","n"
"stomach",314
"talk",314
"weeks",314
"charged",312
"scallops",312
"actual",311
"cashew",311
"incredible",311
"meats",311
"mushy",311
"squid",311
"min",310
"singapore",310
"birthday",309
"larger",309
"pancakes",309
"cucumber",308
"head",308
"management",307
"pictures",307
"presentation",307
"attention",306
"cocktails",306
"update",306
"cake",305
"dried",305
"everyday",305
"bowls",304
"wraps",304
"suggest",303
"talking",303
"forget",302
"paying",302
"sticky",302
"chunks",300
"flavorless",300
"fusion",299
"quiet",299
"building",298
"mango",298
"west",298
"ahead",297
"plan",297
"nearby",295
"seat",295
"hole",294
"matter",294
"bunch",293
"inedible",293
"king",292
"offers",292
"disappointment",291
"dollars",290
"flat",290
"pf",290
"watch",290
"chang's",289
"hoping",289
"mistake",289
"personally",289
"fill",288
"popular",288
"apparently",287
"bottom",287
"choy",287
"dipping",287
"modern",287
"savory",287
"spent",287
"driver",286
"healthy",286
"inexpensive",286
"odd",285
"surprisingly",285
"experiences",284
"fat",284
"previous",284
"complain",282
"floor",282
"running",282
"sized",282
"attitude",281
"section",280
"beat",279
"hidden",279
"skin",279
"true",279
"threw",278
"umami",278
"efficient",277
"reservation",276
"save",275
"loves",274
"squirrel",274
"lulu's",273
"negative",273
"corn",272
"stand",272
"lovely",271
"avocado",270
"slices",270
"request",268
"strange",268
"word",268
"complaints",267
"quantity",267
"edible",266
"loud",266
"pancake",266
"shot",266
"anymore",265
"fix",265
"bok",264
"cookies",264
"students",264
"chain",263
"spend",263
"baby",262
"cute",262
"correct",261
"strong",261
"dough",260
"hate",260
"include",260
"bamboo",259
"picky",259
"positive",259
"boba",258
"guys",258
"station",258
"park",257
"shanghai",257
"spices",257
"balls",256
"reading",254
"cooks",253
"mess",253
"summer",253
"environment",252
"issues",252
"afternoon",251
"consistency",251
"covered",251
"cravings",251
"difficult",251
"workers",251
"paper",250
"personal",250
"leaving",249
"stuffed",249
"asia",248
"checked",248
"chicago",248
"disappoint",248
"breaded",247
"cashier",247
"offerings",247
"pm",247
"li",246
"mandarin",246
"selections",246
"yesterday",246
"classic",245
"la",245
"ohio",245
"school",245
"chop",244
"platter",244
"continue",243
"mustard",243
"chopsticks",241
"dined",241
"shredded",241
"north",240
"mapo",239
"moo",239
"owned",239
"recent",239
"lol",238
"plastic",238
"shu",238
"alright",237
"jade",237
"yeah",237
"bucks",236
"lacked",236
"smell",236
"tons",236
"rose",235
"arrive",234
"yellow",234
"mins",233
"seasoning",233
"casual",232
"cheaper",232
"pickled",232
"pop",232
"buy",231
"palace",231
"parents",231
"rush",231
"window",231
"folks",230
"mild",229
"pass",229
"sea",229
"ten",229
"visits",229
"eggs",228
"experienced",228
"seaweed",228
"die",227
"giant",227
"mei",226
"rich",226
"standards",226
"welcoming",226
"honest",225
"peas",225
"accommodating",224
"kid",223
"hear",222
"decide",221
"peanuts",221
"pineapple",220
"snow",220
"boiled",219
"lost",219
"difference",218
"flavored",218
"fatty",217
"freshly",217
"oakland",217
"register",217
"sugar",217
"unlike",217
"corner",216
"crowd",216
"notch",216
"south",216
"compare",215
"potato",215
"waitresses",215
"desserts",214
"doubt",214
"girlfriend",214
"separate",214
"adventurous",213
"figured",213
"forever",213
"lemon",213
"promptly",213
"pulled",213
"types",213
"website",213
"bright",212
"delight",212
"frequent",212
"ma",212
"dont",211
"game",211
"orient",211
"sadly",211
"ambience",210
"medium",210
"questions",210
"touch",210
"fruit",209
"monday",209
"smelled",209
"bartender",208
"bother",208
"break",208
"calamari",208
"comfort",208
"imagine",208
"peking",208
"base",207
"happen",206
"spots",206
"straight",206
"100",205
"agree",205
"legs",205
"health",204
"picture",204
"sake",204
"complete",203
"hair",203
"realized",203
"spectacular",203
"tai",203
"bigger",202
"eggroll",202
"stuck",202
"satisfying",201
"shop",201
"3.5",200
"car",200
"explain",200
"explained",200
"gluten",200
"refill",200
"waiters",200
"walnut",200
"enjoyable",199
"moving",199
"soda",199
"taiwan",199
"tend",199
"color",198
"cozy",198
"san",198
"spare",198
"bathroom",197
"chefs",197
"eggrolls",197
"listed",197
"sense",197
"siam",197
"smile",197
"booth",196
"bread",196
"grilled",196
"juicy",196
"met",196
"rare",196
"round",196
"dressing",195
"hotel",195
"nasty",195
"boxes",194
"terms",194
"brunch",193
"cookie",193
"grease",193
"recommendations",193
"scallions",193
"tips",193
"vibe",193
"comment",192
"rock",192
"sister",192
"temperature",192
"absolute",191
"baked",191
"impressive",191
"square",191
"additional",190
"center",190
"cumin",190
"recommendation",190
"roast",190
"vinegar",190
"perfection",189
"pricing",189
"refund",189
"veg",189
"protein",188
"requested",188
"xiao",188
"specialty",187
"throw",187
"weekends",187
"balance",186
"feet",186
"nyc",186
"patrons",186
"plentiful",186
"student",186
"finding",185
"mai",185
"regularly",185
"butter",184
"cocktail",184
"driving",184
"harbor",184
"plum",184
"provided",184
"shame",184
"shopping",184
"app",183
"awhile",183
"biggest",183
"cilantro",183
"familiar",183
"hold",183
"chocolate",182
"heart",182
"lower",182
"minced",182
"piping",182
"walls",182
"burnt",181
"crunch",181
"dollar",181
"eats",181
"fabulous",181
"frequently",181
"decorated",180
"major",180
"phenomenal",180
"possibly",180
"closer",179
"courteous",179
"funny",179
"po",179
"returned",179
"13",178
"original",178
"sharing",178
"admit",177
"boy",177
"company",177
"feels",177
"reviewers",177
"stale",177
"chips",176
"edamame",176
"language",176
"plaza",176
"earlier",175
"tongue",175
"christmas",174
"dinners",174
"notice",174
"putting",174
"reservations",174
"safe",174
"checking",173
"eel",173
"opted",173
"watery",173
"bone",172
"breakfast",172
"congee",172
"provide",172
"refills",172
"udon",172
"containers",171
"sandwich",171
"scene",171
"staple",171
"string",171
"tendon",171
"tripe",171
"wrapped",171
"bits",170
"move",170
"office",170
"properly",170
"damn",169
"discount",169
"exceptional",169
"goodness",169
"realize",169
"skip",169
"cakes",168
"ground",168
"includes",168
"leaves",168
"living",168
"ran",168
"roasted",168
"coupon",167
"fee",167
"winter",167
"closing",166
"crap",166
"guests",166
"lighting",166
"rate",166
"conversation",165
"refused",165
"appreciated",164
"boring",164
"hills",164
"lucky",164
"receive",164
"suggested",164
"helped",163
"nights",163
